t|lon|lat|id|v
0|23.5635|37.95966666666666|0|0.0,0.0
1|23.669535|37.939553333333336|1|-0.0,-0.0
2|23.59484666666667|37.955678333333346|2|-0.0,0.0
3|23.5959|37.95241666666666|3|0.0,0.0
4|23.54431666666667|37.88371666666667|4|0.0,0.0
5|23.53492|37.893443333333344|5|0.08131,-0.05821
6|23.56225166666667|37.911501666666666|6|0.0,0.0
7|23.58245333333333|37.95295|7|-0.0,0.0
8|23.604733333333336|37.96038333333333|8|-0.0,0.0
8|23.68152666666667|37.929965|9|-0.0,-0.0
9|23.54805|37.89716666666666|10|0.0,-0.0
10|23.68063333333333|37.93083333333333|11|0.02807,0.09598
11|23.57384833333333|37.96006|12|0.06909,-0.0723
12|23.52278833333333|37.861201666666666|13|0.0,-0.0
13|23.65017666666667|37.931785|14|-0.0,-0.0
14|23.59494833333333|37.955151666666666|15|-0.0,-0.0
15|23.68309833333333|37.92899166666667|16|-0.0,-0.0
16|23.668226666666666|37.938108333333346|17|0.0,-0.0
17|23.58873333333333|37.95555|18|0.0,-0.0
18|23.622698333333336|37.94086666666667|19|-0.0,0.0
19|23.551455|37.95461333333333|20|-0.0153,-0.09882
20|23.58965833333333|37.95234166666667|21|0.0,0.0
21|23.50525|37.84745333333333|22|0.0,-0.0
22|23.59618|37.95679166666665|23|-0.0,0.0
23|23.60310833333333|37.95517|24|-0.0,-0.0
24|23.585645|37.95605333333333|25|0.0,0.0
25|23.58021166666667|37.95447833333333|26|-0.0,-0.0
26|23.564166666666665|37.960323333333335|27|-0.0,0.0
27|23.5635|37.95966666666666|0|-0.0,0.0
28|23.669536666666666|37.939553333333336|1|0.0,-0.0
29|23.59593333333333|37.952366666666656|3|0.0,0.0
30|23.553573333333336|37.88993|28|-0.01045,0.09945
31|23.53487833333333|37.89347833333333|5|0.0,-0.0
32|23.562305|37.91151|6|0.0,0.0
33|23.604733333333336|37.96038333333333|8|-0.0,0.0
34|23.54803333333333|37.89711666666667|10|0.0,-0.0
35|23.68063333333333|37.93083333333333|11|-0.0,-0.0
36|23.65015333333333|37.93177166666667|14|0.0,0.0
37|23.522756666666666|37.861270000000005|13|0.07923,-0.06101
38|23.59494333333333|37.95515666666667|15|-0.0,-0.0
39|23.68309833333333|37.92899166666667|16|-0.0,-0.0
39|23.66825333333333|37.938138333333335|17|0.0,-0.0
40|23.58873333333333|37.95555|18|0.0,-0.0
41|23.622691666666665|37.940865|19|-0.09945,-0.01045
42|23.52312833333333|37.890456666666665|29|0.04305,-0.09026
43|23.551455|37.95452333333333|20|-0.0153,-0.09882
44|23.571156666666663|37.960188333333335|30|-0.0,0.0
45|23.55009833333333|37.872631666666656|31|0.0,-0.0
46|23.603126666666665|37.95516833333333|24|-0.03891,-0.09212
47|23.62834666666667|37.94262166666667|32|-0.0,0.0
48|23.646285|37.77691333333333|33|-11.21895,4.53267
49|23.58561833333333|37.95604166666667|25|0.0,0.0
50|23.519|38.02666666666666|34|0.0,-0.0
51|23.58021|37.95447833333333|26|-0.0,-0.0
52|23.5635|37.95966666666666|0|-0.0,0.0
53|23.669525|37.93954|1|-0.0,-0.0
54|23.59483333333333|37.955678333333346|2|-0.0,0.0
55|23.55362|37.88987833333333|28|-0.01045,0.09945
56|23.59588333333333|37.95241666666666|3|0.0,-0.0
57|23.54433333333333|37.8837|4|-0.0,0.0
58|23.64866666666667|37.933|35|-0.04695,0.08829
59|23.650385000000004|37.933258333333335|36|-0.0,-0.0
60|23.56234166666667|37.91151|6|-0.0,0.0
61|23.58243333333333|37.95294333333333|7|-0.0,0.0
62|23.604750000000006|37.9604|8|-0.0,0.0
62|23.681525|37.929965|9|-0.0,0.0
63|23.08606666666667|37.901833333333336|37|0.05,-0.0866
64|23.68063333333333|37.93083333333333|11|-0.0,0.0
65|23.522711666666666|37.861311666666666|13|0.1245,-0.15652
66|23.65015333333333|37.93177333333333|14|-0.01219,0.09925
67|23.594945000000003|37.95514833333333|15|-0.0,-0.0
68|23.66828|37.93817166666667|17|0.0,-0.0
69|23.622698333333336|37.94087|19|0.05736,-0.08191
69|23.54085|38.004133333333336|38|-3.35184,9.20897
70|23.603510000000004|37.95998833333333|39|0.83363,-1.36567
70|23.57112833333333|37.960201666666656|30|-0.0,0.0
71|23.58967|37.952293333333344|21|0.0,0.0
72|23.50523666666667|37.84753166666667|22|0.0,-0.0
73|23.64966166666667|37.770146666666655|33|-11.12624,4.49521
74|23.5086|37.866361666666656|40|0.0,0.0
75|23.543833333333332|38.0031|38|-4.1417,8.8818
76|23.64866666666667|37.933|35|0.09848,0.01736
77|23.628325|37.94261166666667|32|-0.0,-0.0
78|23.56427833333333|37.96131833333333|41|-0.09816,-0.01908
79|23.57431|37.96116666666667|42|-0.0,0.0
80|23.58563333333333|37.955995|25|0.0,0.0
81|23.580206666666665|37.954476666666665|26|-0.0,-0.0
82|23.56419|37.960315|27|-0.0,0.0
83|23.5635|37.95966666666666|0|0.0,0.0
84|23.66954|37.93955|1|-0.0,-0.0
84|23.59591666666667|37.9524|3|0.0,-0.0
85|23.55361|37.88992333333333|28|-0.01045,0.09945
86|23.54441666666667|37.88365|4|-0.05736,0.08191
87|23.59484833333333|37.955666666666666|2|-0.0,0.0
88|23.65040166666667|37.933226666666656|36|-0.0,0.0
89|23.56236|37.911495|6|-0.0,0.0
90|23.604750000000006|37.96038333333333|8|-0.0,0.0
90|23.68152666666667|37.929966666666665|9|-0.0,-0.0
91|23.58243|37.952935|7|-0.0,0.0
92|23.54806666666667|37.89706666666667|10|0.0,-0.0
93|23.65015333333333|37.93177166666667|14|-0.03584,-0.09336
94|23.54873333333333|38.00063333333333|38|-6.29936,7.5072
95|23.573846666666668|37.960058333333336|12|-0.0,-0.0
96|23.594945000000003|37.95516|15|0.0,0.0
97|23.68310333333333|37.928995|16|0.0,-0.0
98|23.668256666666665|37.938155|17|0.0,-0.0
99|23.58873333333333|37.95555|18|0.0,-0.0
100|23.57116333333333|37.96017666666667|30|-0.0,-0.0
101|23.589615|37.952325|21|0.0,0.0
102|23.505251666666666|37.84750666666665|22|0.0,-0.0
103|23.50863333333333|37.86637333333333|40|0.0,0.0
104|23.62831666666667|37.94258333333333|32|-0.0,-0.0
105|23.530883333333332|38.0154|43|-0.0,-0.0
105|23.57431|37.96116833333333|42|-0.0,0.0
106|23.585625|37.95599666666667|25|0.0,0.0
107|23.58020166666667|37.954475|26|-0.0,-0.0
108|23.66953166666667|37.93955|1|-0.0,-0.0
109|23.553591666666666|37.889895|28|-0.0,0.0
110|23.54455|37.883616666666654|4|-0.00872,0.09962
111|23.650406666666665|37.93322166666667|36|-0.0,0.0
111|23.58243666666667|37.95294333333333|7|-0.0,0.0
112|23.56241|37.91148833333333|6|0.0,0.0
112|23.681525|37.929965|9|-0.0,0.0
113|23.604750000000006|37.96038333333333|8|-0.0,0.0
114|23.54813333333333|37.89706666666667|10|0.0,-0.0
115|23.68063333333333|37.93083333333333|11|0.0,0.0
116|23.52262833333333|37.86139833333333|13|0.0,-0.0
117|23.59495666666667|37.955145|15|-0.0,-0.0
118|23.596185000000002|37.956768333333336|23|-0.0,-0.0
119|23.68309833333333|37.928988333333336|16|-0.0,-0.0
120|23.668264999999998|37.93815666666667|17|0.0,-0.0
121|23.58873333333333|37.95555|18|0.0,-0.0
122|23.6227|37.94087|19|-0.01564,-0.09877
123|23.57114666666667|37.96018333333333|30|-0.0,0.0
124|23.551470000000002|37.95452333333333|20|-0.0153,-0.09882
125|23.58965166666667|37.95230333333333|21|0.0,0.0
126|23.50532|37.847603333333346|22|0.0,-0.0
127|23.550045|37.872655|31|0.0,-0.0
128|23.72575|37.87789833333333|44|0.0,0.0
129|23.62832333333333|37.94258166666667|32|-0.0,-0.0
130|23.56427166666667|37.961325|41|-0.09785,-0.02062
131|23.57431166666667|37.96117|42|-0.0,0.0
132|23.519|38.02666666666666|34|0.0,-0.0
133|23.5802|37.95447333333333|26|-0.0,-0.0
134|23.564185|37.960308333333344|27|-0.0,0.0
135|23.5635|37.95966666666666|0|-0.0,-0.0
136|23.55364|37.88993666666667|28|-0.01045,0.09945
137|23.54475|37.883633333333336|4|-0.04384,0.08988
138|23.650426666666664|37.933236666666666|36|-0.0,0.0
138|23.56243833333333|37.91154166666667|6|0.0,0.0
139|23.604716666666665|37.960366666666665|8|-0.0,0.0
140|23.54821666666667|37.89711666666667|10|0.0,0.0
140|23.68063333333333|37.93083333333333|11|0.0,0.0
141|23.650175|37.931783333333335|14|-0.09659,0.02588
142|23.52261666666667|37.861415|13|0.0,-0.0
143|23.573845000000002|37.96005666666667|12|-0.0,-0.0
144|23.596181666666666|37.95678166666666|23|-0.0,-0.0
144|23.59496|37.955153333333335|15|-0.0,-0.0
145|23.68309833333333|37.928988333333336|16|-0.0,-0.0
146|23.64866666666667|37.933|35|0.17493,-0.09696
147|23.668275|37.938146666666654|17|0.0,-0.0
148|23.58871666666667|37.95555|18|0.0,-0.0
149|23.622695|37.940865|19|-0.09962,0.00871
150|23.523215|37.89039666666667|29|0.0,-0.0
151|23.57114666666667|37.960184999999996|30|-0.0,0.0
152|23.55149333333333|37.95451833333333|20|0.03404,-0.09403
153|23.60455166666667|37.960411666666666|39|-0.05764,-0.08172
154|23.50531333333333|37.847591666666666|22|0.0,-0.0
155|23.50862|37.86634|40|-0.0,-0.0
156|23.55004833333333|37.87263666666667|31|-0.07749,-0.0632
157|23.72575|37.87789833333333|44|0.0,0.0
158|23.564016666666664|37.92653333333333|45|-0.0,-0.0
159|23.57431166666667|37.96117|42|-0.0,0.0
160|23.585593333333332|37.955995|25|0.0,0.0
161|23.647815|37.93137333333333|46|-0.0,-0.0
162|23.580198333333332|37.95447|26|-0.0,-0.0
163|23.5635|37.95966666666666|0|0.0,-0.0
164|23.66953333333333|37.93954833333333|1|-0.0,-0.0
165|23.594841666666664|37.95567666666667|2|-0.0,0.0
166|23.5959|37.952433333333346|3|-0.0,0.0
167|23.553663333333336|37.88997166666665|28|-0.0,0.0
167|23.54486666666667|37.8836|4|-0.02756,0.09613
168|23.65041166666667|37.93324333333333|36|-0.0,0.0
169|23.56241833333333|37.911570000000005|6|-0.0,-0.0
170|23.68152666666667|37.929968333333335|9|0.0,-0.0
171|23.604733333333336|37.96038333333333|8|-0.0,0.0
172|23.58245|37.952956666666665|7|-0.0,0.0
173|23.54828333333333|37.89716666666666|10|0.0,0.0
174|23.56399|37.96076666666667|41|-5.90102,-2.20635
174|23.68063333333333|37.93083333333333|11|-0.0,-0.0
175|23.538706666666666|38.024115|47|0.0,-0.0
176|23.650175|37.931783333333335|14|0.0,-0.0
177|23.59495|37.955155|15|-0.0,-0.0
178|23.683104999999998|37.928996666666656|16|0.0,-0.0
179|23.564220000000002|37.96126666666667|41|-0.09942,-0.0108
179|23.66828666666667|37.938138333333335|17|0.0,-0.0
180|23.58871666666667|37.95555|18|0.0,-0.0
181|23.60369166666667|37.96032666666667|39|-3.62943,-4.26465
182|23.62269333333333|37.94086333333333|19|0.0682,0.07314
183|23.55143833333333|37.95448833333333|20|0.03404,-0.09403
184|23.58967333333333|37.95228833333333|21|0.0,0.0
185|23.545783333333336|37.97466666666666|38|-9.78657,-0.51297
186|23.602941666666666|37.95952333333333|39|-6.52764,-3.69323
