t|obj_id
0|2897 with 2808
0|5834 with 4654
0|1469 with 1457
0|2476 with 1594
1|2897 with 2808
1|1469 with 1457
1|2476 with 1594
2|8529 with 6037
2|2897 with 2808
2|1469 with 1457
2|8947 with 5787
2|6612 with 4782
3|8529 with 6037
3|2897 with 2808
3|1469 with 1457
3|5146 with 4931
3|8947 with 5787
3|6612 with 4782
4|8529 with 6037
4|2897 with 2808
4|1469 with 1457
4|5146 with 4931
4|6867 with 5317
4|8947 with 5787
5|9501 with 9029
5|3712 with 2827
5|5160 with 5135
5|2065 with 1707
5|2897 with 2808
5|4655 with 2295
5|4341 with 3797
5|1469 with 1457
6|9501 with 9029
6|3712 with 2827
6|5160 with 5135
6|2897 with 2808
6|4655 with 2295
6|1469 with 1457
7|9501 with 9029
7|3712 with 2827
7|5160 with 5135
7|2897 with 2808
7|4655 with 2295
7|1469 with 1457
8|3712 with 2827
8|5160 with 5135
8|2565 with 1915
8|2897 with 2808
8|1469 with 1457
9|9500 with 8895
9|3712 with 2827
9|5160 with 5135
9|2565 with 1915
9|2897 with 2808
9|5153 with 4906
9|1469 with 1457
10|7905 with 7108
10|8971 with 8051
10|2565 with 1915
10|6309 with 6135
10|1469 with 1457
10|5924 with 5821
10|4014 with 1719
10|9693 with 8348
10|7563 with 6938
10|5160 with 5135
10|7801 with 4075
11|7905 with 7108
11|8971 with 8051
11|2565 with 1915
11|6309 with 6135
11|4737 with 3761
11|1469 with 1457
11|4713 with 4415
11|5924 with 5821
11|4014 with 1719
11|7563 with 6938
11|5160 with 5135
11|7801 with 4075
12|8761 with 6032
12|7905 with 7108
12|2565 with 1915
12|6309 with 6135
12|4737 with 3761
12|1469 with 1457
12|4713 with 4415
12|8349 with 6263
12|5924 with 5821
12|4014 with 1719
12|7563 with 6938
12|5160 with 5135
12|7801 with 4075
13|8761 with 6032
13|7905 with 7108
13|9924 with 9362
13|6740 with 6551
13|2176 with 1596
13|545 with 196
13|2565 with 1915
13|6309 with 6135
13|1469 with 1457
13|4713 with 4415
13|2229 with 1537
13|8349 with 6263
13|5924 with 5821
13|4014 with 1719
13|76 with 4114
13|7563 with 6938
13|5160 with 5135
13|7801 with 4075
14|8761 with 6032
14|7905 with 7108
14|9924 with 9362
14|6740 with 6551
14|2176 with 1596
14|545 with 196
14|2565 with 1915
14|1469 with 1457
14|8349 with 6263
14|76 with 4114
14|7563 with 6938
14|5160 with 5135
14|7801 with 4075
15|196 with 545
15|7905 with 7108
15|120 with 3902
15|9924 with 9362
15|3319 with 2398
15|1469 with 1457
15|8031 with 5074
15|5160 with 5135
15|6740 with 6551
16|196 with 545
16|7905 with 7108
16|120 with 3902
16|3319 with 2398
16|1469 with 1457
16|6994 with 6232
16|8031 with 5074
16|5160 with 5135
16|6740 with 6551
17|196 with 545
17|7905 with 7108
17|3473 with 1995
17|3319 with 2398
17|1469 with 1457
17|6994 with 6232
17|5160 with 5135
17|6740 with 6551
18|7905 with 7108
18|3473 with 1995
18|3319 with 2398
18|1469 with 1457
18|5160 with 5135
18|3261 with 2990
18|6740 with 6551
19|7905 with 7108
19|3473 with 1995
19|3319 with 2398
19|2665 with 5334
19|1469 with 1457
19|5160 with 5135
19|7244 with 6380
19|3261 with 2990
19|6740 with 6551
19|8947 with 5285
20|8654 with 7676
20|1479 with 861
20|7905 with 7108
20|6990 with 4991
20|7078 with 4991
20|7078 with 6990
20|9072 with 8720
20|9188 with 8720
20|9188 with 9072
20|9536 with 8174
20|2497 with 4667
20|2497 with 4276
20|2497 with 7078
20|2497 with 4991
20|2497 with 6990
20|9900 with 9837
20|4035 with 3713
20|5160 with 5135
21|8654 with 7676
21|1479 with 861
21|7905 with 7108
21|6990 with 4991
21|7078 with 4991
21|7078 with 6990
21|9072 with 8720
21|9188 with 8720
21|9188 with 9072
21|9536 with 8174
21|2497 with 4667
21|2497 with 4276
21|2497 with 7078
21|2497 with 4991
21|2497 with 6990
21|9900 with 9837
21|4035 with 3713
21|9933 with 6559
21|5299 with 4793
21|6849 with 6392
21|5160 with 5135
22|8654 with 7676
22|1479 with 861
22|7905 with 7108
22|6990 with 4991
22|7078 with 4991
22|7078 with 6990
22|9072 with 8720
22|9188 with 8720
22|9188 with 9072
22|9536 with 8174
22|2497 with 4667
22|2497 with 4276
22|2497 with 7078
22|2497 with 4991
22|2497 with 6990
22|9900 with 9837
22|4035 with 3713
22|6849 with 6392
22|5160 with 5135
23|8654 with 7676
23|1479 with 861
23|7905 with 7108
23|6990 with 4991
23|7078 with 4991
23|7078 with 6990
23|9072 with 8720
23|9188 with 8720
23|9188 with 9072
23|9536 with 8174
23|2497 with 4667
23|2497 with 4276
23|2497 with 7078
23|2497 with 4991
23|2497 with 6990
23|9900 with 9837
23|4035 with 3713
23|6849 with 6392
23|5160 with 5135
24|8654 with 7676
24|1479 with 861
24|7905 with 7108
24|6990 with 4991
24|7078 with 4991
24|7078 with 6990
24|9072 with 8720
24|9188 with 8720
24|9188 with 9072
24|9536 with 8174
24|2497 with 4667
24|2497 with 4276
24|2497 with 7078
24|2497 with 4991
24|2497 with 6990
24|9900 with 9837
24|4035 with 3713
24|5160 with 5135
25|1870 with 1616
25|2497 with 2430
25|4321 with 4276
25|4857 with 4276
25|4857 with 4321
25|4991 with 4276
25|4991 with 4321
25|4991 with 4857
25|7078 with 6990
25|8174 with 6990
25|8245 with 7078
25|8720 with 6990
25|8720 with 7078
25|8720 with 8245
25|9072 with 6990
25|9072 with 7078
25|9072 with 8245
25|9072 with 8720
25|9188 with 9072
25|9188 with 6990
25|9188 with 7078
25|9188 with 8245
25|9188 with 8720
25|9370 with 6990
25|9370 with 7078
25|9536 with 6990
25|9536 with 8174
25|9750 with 9536
25|9750 with 8174
25|9765 with 9072
25|9765 with 9188
25|9765 with 9536
25|9765 with 6990
25|9765 with 8245
25|9765 with 8720
25|9072 with 9765
25|9072 with 9188
25|9072 with 6990
25|9072 with 7078
25|9072 with 8245
25|9072 with 8720
25|9900 with 9837
25|6740 with 6551
25|991 with 710
26|1870 with 1616
26|2497 with 2430
26|4321 with 4276
26|4857 with 4276
26|4857 with 4321
26|4991 with 4276
26|4991 with 4321
26|4991 with 4857
26|7078 with 6990
26|8174 with 6990
26|8245 with 7078
26|8720 with 6990
26|8720 with 7078
26|8720 with 8245
26|9072 with 6990
26|9072 with 7078
26|9072 with 8245
26|9072 with 8720
26|9188 with 9072
26|9188 with 6990
26|9188 with 7078
26|9188 with 8245
26|9188 with 8720
26|9370 with 6990
26|9370 with 7078
26|9536 with 6990
26|9536 with 8174
26|9750 with 9536
26|9750 with 8174
26|9765 with 9072
26|9765 with 9188
26|9765 with 9536
26|9765 with 6990
26|9765 with 8245
26|9765 with 8720
26|9072 with 9765
26|9072 with 9188
26|9072 with 6990
26|9072 with 7078
26|9072 with 8245
26|9072 with 8720
26|9900 with 9837
26|9899 with 9208
26|6740 with 6551
26|991 with 710
27|2360 with 2133
27|2497 with 2430
27|4321 with 4276
27|4857 with 4276
27|4857 with 4321
27|4991 with 4276
27|4991 with 4321
27|4991 with 4857
27|7078 with 6990
27|8174 with 6990
27|8245 with 7078
27|8720 with 6990
27|8720 with 7078
27|8720 with 8245
27|9072 with 6990
27|9072 with 7078
27|9072 with 8245
27|9072 with 8720
27|9188 with 9072
27|9188 with 6990
27|9188 with 7078
27|9188 with 8245
27|9188 with 8720
27|9370 with 6990
27|9370 with 7078
27|9536 with 6990
27|9536 with 8174
27|9750 with 9536
27|9750 with 8174
27|9765 with 9072
27|9765 with 9188
27|9765 with 9536
27|9765 with 6990
27|9765 with 8245
27|9765 with 8720
27|9072 with 9765
27|9072 with 9188
27|9072 with 6990
27|9072 with 7078
27|9072 with 8245
27|9072 with 8720
27|9900 with 9837
27|8130 with 4816
27|9899 with 9208
27|6740 with 6551
27|991 with 710
28|2360 with 2133
28|2497 with 2430
28|4321 with 4276
28|4857 with 4276
28|4857 with 4321
28|4991 with 4276
28|4991 with 4321
28|4991 with 4857
28|7078 with 6990
28|8174 with 6990
28|8245 with 7078
28|8720 with 6990
28|8720 with 7078
28|8720 with 8245
28|9072 with 6990
28|9072 with 7078
28|9072 with 8245
28|9072 with 8720
28|9188 with 9072
28|9188 with 6990
28|9188 with 7078
28|9188 with 8245
28|9188 with 8720
28|9370 with 6990
28|9370 with 7078
28|9536 with 6990
28|9536 with 8174
28|9750 with 9536
28|9750 with 8174
28|9765 with 9072
28|9765 with 9188
28|9765 with 9536
28|9765 with 6990
28|9765 with 8245
28|9765 with 8720
28|9072 with 9765
28|9072 with 9188
28|9072 with 6990
28|9072 with 7078
28|9072 with 8245
28|9072 with 8720
28|9900 with 9837
28|9690 with 5026
28|8130 with 4816
28|9899 with 9208
28|6740 with 6551
28|991 with 710
28|4586 with 4337
29|2360 with 2133
29|2497 with 2430
29|4321 with 4276
29|4857 with 4276
29|4857 with 4321
29|4991 with 4276
29|4991 with 4321
29|4991 with 4857
29|7078 with 6990
29|8174 with 6990
29|8245 with 7078
29|8720 with 6990
29|8720 with 7078
29|8720 with 8245
29|9072 with 6990
29|9072 with 7078
29|9072 with 8245
29|9072 with 8720
29|9188 with 9072
29|9188 with 6990
29|9188 with 7078
29|9188 with 8245
29|9188 with 8720
29|9370 with 6990
29|9370 with 7078
29|9536 with 6990
29|9536 with 8174
29|9750 with 9536
29|9750 with 8174
29|9765 with 9072
29|9765 with 9188
29|9765 with 9536
29|9765 with 6990
29|9765 with 8245
29|9765 with 8720
29|9072 with 9765
29|9072 with 9188
29|9072 with 6990
29|9072 with 7078
29|9072 with 8245
29|9072 with 8720
29|9900 with 9837
29|9690 with 5026
29|8130 with 4816
29|6740 with 6551
29|6626 with 2914
29|991 with 710
29|9605 with 9169
30|2360 with 2133
30|6900 with 5987
30|2617 with 2497
30|4321 with 4276
30|4380 with 3803
30|4380 with 4321
30|4624 with 4380
30|4667 with 3803
30|4667 with 4380
30|4721 with 3803
30|4721 with 4667
30|4733 with 4721
30|4733 with 3803
30|4733 with 4276
30|4733 with 4321
30|4733 with 4380
30|4733 with 4667
30|2430 with 2497
30|2430 with 2617
30|2430 with 3795
30|4991 with 4857
30|6990 with 4857
30|6990 with 4867
30|6990 with 4991
30|7078 with 4857
30|7078 with 4991
30|7078 with 6990
30|8174 with 6990
30|8245 with 4857
30|8245 with 4867
30|8245 with 4991
30|8245 with 7078
30|4733 with 2497
30|4733 with 2617
30|4733 with 3795
30|4733 with 4721
30|9072 with 8720
30|9188 with 8720
30|9188 with 9072
30|9750 with 9536
30|9765 with 8720
30|9765 with 9072
30|9765 with 9188
30|9765 with 9536
30|8245 with 2497
30|8245 with 2617
30|8245 with 3795
30|8245 with 4721
30|9900 with 9837
30|3261 with 2990
30|8530 with 8502
30|2858 with 2330
30|5962 with 5243
31|2360 with 2133
31|6900 with 5987
31|2617 with 2497
31|4321 with 4276
31|4380 with 3803
31|4380 with 4321
31|4624 with 4380
31|4667 with 3803
31|4667 with 4380
31|4721 with 3803
31|4721 with 4667
31|4733 with 4721
31|4733 with 3803
31|4733 with 4276
31|4733 with 4321
31|4733 with 4380
31|4733 with 4667
31|2430 with 2497
31|2430 with 2617
31|2430 with 3795
31|4991 with 4857
31|6990 with 4857
31|6990 with 4867
31|6990 with 4991
31|7078 with 4857
31|7078 with 4991
31|7078 with 6990
31|8174 with 6990
31|8245 with 4857
31|8245 with 4867
31|8245 with 4991
31|8245 with 7078
31|4733 with 2497
31|4733 with 2617
31|4733 with 3795
31|4733 with 4721
31|9072 with 8720
31|9188 with 8720
31|9188 with 9072
31|9750 with 9536
31|9765 with 8720
31|9765 with 9072
31|9765 with 9188
31|9765 with 9536
31|8245 with 2497
31|8245 with 2617
31|8245 with 3795
31|8245 with 4721
31|9900 with 9837
31|7662 with 7015
31|9667 with 9476
31|3261 with 2990
31|8530 with 8502
31|2858 with 2330
31|8856 with 6390
31|5962 with 5243
32|2360 with 2133
32|6900 with 5987
32|2617 with 2497
32|4321 with 4276
32|4380 with 3803
32|4380 with 4321
32|4624 with 4380
32|4667 with 3803
32|4667 with 4380
32|4721 with 3803
32|4721 with 4667
32|4733 with 4721
32|4733 with 3803
32|4733 with 4276
32|4733 with 4321
32|4733 with 4380
32|4733 with 4667
32|2430 with 2497
32|2430 with 2617
32|2430 with 3795
32|4991 with 4857
32|6990 with 4857
32|6990 with 4867
32|6990 with 4991
32|7078 with 4857
32|7078 with 4991
32|7078 with 6990
32|8174 with 6990
32|8245 with 4857
32|8245 with 4867
32|8245 with 4991
32|8245 with 7078
32|4733 with 2497
32|4733 with 2617
32|4733 with 3795
32|4733 with 4721
32|9072 with 8720
32|9188 with 8720
32|9188 with 9072
32|9750 with 9536
32|9765 with 8720
32|9765 with 9072
32|9765 with 9188
32|9765 with 9536
32|8245 with 2497
32|8245 with 2617
32|8245 with 3795
32|8245 with 4721
32|9900 with 9837
32|7662 with 7015
32|5550 with 4353
32|3261 with 2990
32|5297 with 4589
32|4987 with 3438
32|8530 with 8502
32|2858 with 2330
32|8856 with 6390
33|2360 with 2133
33|6900 with 5987
33|2617 with 2497
33|4321 with 4276
33|4380 with 3803
33|4380 with 4321
33|4624 with 4380
33|4667 with 3803
33|4667 with 4380
33|4721 with 3803
33|4721 with 4667
33|4733 with 4721
33|4733 with 3803
33|4733 with 4276
33|4733 with 4321
33|4733 with 4380
33|4733 with 4667
33|2430 with 2497
33|2430 with 2617
33|2430 with 3795
33|4991 with 4857
33|6990 with 4857
33|6990 with 4867
33|6990 with 4991
33|7078 with 4857
33|7078 with 4991
33|7078 with 6990
33|8174 with 6990
33|8245 with 4857
33|8245 with 4867
33|8245 with 4991
33|8245 with 7078
33|4733 with 2497
33|4733 with 2617
33|4733 with 3795
33|4733 with 4721
33|9072 with 8720
33|9188 with 8720
33|9188 with 9072
33|9750 with 9536
33|9765 with 8720
33|9765 with 9072
33|9765 with 9188
33|9765 with 9536
33|8245 with 2497
33|8245 with 2617
33|8245 with 3795
33|8245 with 4721
33|9900 with 9837
33|7902 with 6459
33|7662 with 7015
33|5550 with 4353
33|3261 with 2990
33|5297 with 4589
33|4987 with 3438
33|8530 with 8502
33|2858 with 2330
33|8856 with 6390
34|2360 with 2133
34|6900 with 5987
34|2617 with 2497
34|4321 with 4276
34|4380 with 3803
34|4380 with 4321
34|4624 with 4380
34|4667 with 3803
34|4667 with 4380
34|4721 with 3803
34|4721 with 4667
34|4733 with 4721
34|4733 with 3803
34|4733 with 4276
34|4733 with 4321
34|4733 with 4380
34|4733 with 4667
34|2430 with 2497
34|2430 with 2617
34|2430 with 3795
34|4991 with 4857
34|6990 with 4857
34|6990 with 4867
34|6990 with 4991
34|7078 with 4857
34|7078 with 4991
34|7078 with 6990
34|8174 with 6990
34|8245 with 4857
34|8245 with 4867
34|8245 with 4991
