t|obj_id
4|77 with 482
10|116 with 335
11|116 with 335
12|116 with 335
13|116 with 335
13|124 with 411
14|80 with 194
14|116 with 335
14|124 with 411
15|116 with 335
15|124 with 411
16|116 with 335
16|124 with 411
17|116 with 335
17|124 with 411
18|116 with 335
18|124 with 411
19|116 with 335
19|124 with 411
20|116 with 335
20|124 with 411
21|116 with 335
21|124 with 411
22|116 with 335
22|124 with 411
23|124 with 411
24|124 with 411
32|105 with 319
33|66 with 197
33|105 with 319
34|66 with 197
34|105 with 319
