0|-9090.937500,592142.875000|517.422,-269.356|769
1|540909.062500,759642.875000|369.253,407.617|757
2|-50340.937500,414642.875000|484.911,121.905|511
3|548409.062500,218392.875000|348.211,468.003|766
4|130909.062500,650892.875000|179.055,-466.84|707
5|148409.062500,383392.875000|268.179,610.348|570
6|377159.062500,423392.875000|-618.704,199.261|632
7|668409.062500,425892.875000|421.511,326.761|775
8|514659.062500,665892.875000|388.892,-314.266|591
9|64659.062500,315892.875000|389.498,499.402|527
10|408409.062500,888392.875000|-489.418,211.93|757
11|909.062500,660892.875000|361.245,-345.691|675
12|345909.062500,702142.875000|-308.184,-455.547|575
13|350909.062500,1058392.875000|-588.744,-275.465|654
14|63409.062500,828392.875000|341.009,410.07|546
15|909.062500,1038392.875000|555.659,-177.543|757
16|413409.062500,380892.875000|-550.805,237.936|748
17|-94090.937500,984642.875000|650,0.232949|533
18|359659.062500,340892.875000|-423.897,376.061|781
19|585909.062500,545892.875000|524.842,-213.662|542
20|558409.062500,899642.875000|608.583,272.161|565
21|-14090.937500,510892.875000|546.222,-64.3584|720
22|315909.062500,418392.875000|-506.925,253.255|634
23|465909.062500,647142.875000|-563.238,-356.662|723
24|-12840.937500,893392.875000|584.172,244.651|648
25|260909.062500,227142.875000|-154.275,579.827|795
26|597159.062500,217142.875000|253.548,450.176|723
27|432159.062500,332142.875000|-459.269,302.609|604
28|470909.062500,963392.875000|549.68,18.7534|589
29|739659.062500,918392.875000|-20.2906,616.333|714
30|49659.062500,1057142.875000|485.061,-259.26|757
31|407159.062500,765892.875000|-409.617,415.322|638
32|18409.062500,1032142.875000|538.379,-176.803|630
33|295909.062500,688392.875000|-263.938,-538.829|718
34|545909.062500,215892.875000|360.305,458.757|756
35|340909.062500,450892.875000|-587.534,121.672|604
36|150909.062500,775892.875000|118.338,588.214|712
37|743409.062500,355892.875000|21.6329,549.574|677
38|709659.062500,1028392.875000|351.523,-401.094|612
39|449659.062500,950892.875000|-561.187,78.6165|780
40|-37840.937500,242142.875000|378.31,399.226|566
41|-104090.937500,729642.875000|400.292,326.666|507
42|-157840.937500,769642.875000|547.855,317.752|763
43|628409.062500,775892.875000|281.688,472.39|571
